Campaign,Asset type,Text,Final URL
EU Search - Low Voltage Kits - EN,Sitelink,Battery Kit With Casters,https://www.jkesstech.com/products/battery-kit
EU Search - Low Voltage Kits - EN,Sitelink,6U Rack Battery Kit,https://www.jkesstech.com/products/6u-battery-kit
EU Search - Low Voltage Kits - EN,Sitelink,Compare Battery Enclosures,https://www.jkesstech.com/battery-enclosures
EU Search - Low Voltage Kits - EN,Sitelink,Request Shipping Quote,https://www.jkesstech.com/shipping-quote
EU Search - High Voltage BMS - EN,Sitelink,High Voltage Kit,https://www.jkesstech.com/products/high-voltage-kit
EU Search - High Voltage BMS - EN,Sitelink,100A BMS Guide,https://www.jkesstech.com/high-voltage-bms/100a
EU Search - High Voltage BMS - EN,Sitelink,200A BMS Guide,https://www.jkesstech.com/high-voltage-bms/200a
EU Search - High Voltage BMS - EN,Sitelink,Request Project Review,https://www.jkesstech.com/shipping-quote
EU Search - Low Voltage Kits - EN,Callout,EU Standard Shipping,
EU Search - Low Voltage Kits - EN,Callout,Cells Sold Separately,
EU Search - Low Voltage Kits - EN,Callout,CAN & RS485 Options,
EU Search - Low Voltage Kits - EN,Callout,1-Year Hardware Warranty,
EU Search - High Voltage BMS - EN,Callout,100A & 200A Options,
EU Search - High Voltage BMS - EN,Callout,BCU & BMU Hardware,
EU Search - High Voltage BMS - EN,Callout,PCS & EMS Review,
EU Search - High Voltage BMS - EN,Callout,CAN RS485 isoSPI,
