Country,ISO,Tier,Preferred ad languages,Site locales
Austria,AT,2,German,de
Belgium,BE,2,Dutch;French;German,nl;fr;de
Bulgaria,BG,2,Bulgarian,bg
Croatia,HR,2,Croatian,hr
Cyprus,CY,3,Greek;Turkish,el;tr
Czechia,CZ,2,Czech,cs
Denmark,DK,2,Danish,da
Estonia,EE,3,Estonian,et
Finland,FI,2,Finnish,fi
France,FR,1,French,fr
Germany,DE,1,German,de
Greece,GR,2,Greek,el
Hungary,HU,2,Hungarian,hu
Ireland,IE,2,English,en
Italy,IT,1,Italian,it
Latvia,LV,3,Latvian,lv
Lithuania,LT,3,Lithuanian,lt
Luxembourg,LU,3,French;German,fr;de
Malta,MT,3,English,en
Netherlands,NL,1,Dutch,nl
Poland,PL,1,Polish,pl
Portugal,PT,2,Portuguese,pt
Romania,RO,1,Romanian,ro
Slovakia,SK,2,Slovak,sk
Slovenia,SI,2,Slovenian,sl
Spain,ES,1,Spanish,es
Sweden,SE,2,Swedish,sv
